timestamp;level;service;method;path;status;responseTime;userId;sessionId;ip;message;payloadSize;tags;env;host;errorCode
2025-09-24T22:29:21.997Z;INFO;orders;POST;/health;200;454;75542d37-90dc-4da3-88ea-7fe15dc8207f;02daeb250f796a44;38.168.107.159;POST /health -> 200: processing successful;127288;auth;prod;prod-host-21;
2025-09-24T23:44:58.001Z;WARN;api-gateway;DELETE;/api/orders;597;784;516cb8d3-dcbc-49c3-86c8-f15be67a3ced;ae25e689dd28082c;69.253.109.175;DELETE /api/orders -> 597: retry scheduled;105643;auth|retry|db;prod;prod-host-43;
2025-09-24T21:06:56.436Z;WARN;payments;PUT;/health;591;135;2538aab6-1c7e-4689-b664-7e62a701b5d2;5383f5acca520045;225.116.226.228;PUT /health -> 591: deprecated endpoint used;49341;auth|retry|cache;dev;dev-host-36;
2025-09-24T21:20:37.966Z;INFO;orders;GET;/api/payments;251;38;7be66159-ef36-44b8-a3cb-d44e74054796;6587ff5748ef200b;112.52.242.14;GET /api/payments -> 251: processing successful;147465;payment|cache;staging;staging-host-19;
2025-09-24T21:07:30.524Z;ERROR;auth;PUT;/api/users/4109;577;1196;43290d56-b678-48d5-b18e-592309222e8d;a5cf4550d3b088e1;154.215.75.226;PUT /api/users/4109 -> 577: timeout while calling dependency;158908;auth|payment|db;staging;staging-host-39;E_AUTH
2025-09-24T22:00:25.433Z;INFO;auth;DELETE;/api/orders;266;188;;a5cf4550d3b088e1;10.84.83.36;DELETE /api/orders -> 266: heartbeat ok;138812;network;dev;dev-host-33;
2025-09-24T22:37:00.762Z;INFO;auth;DELETE;/api/orders;288;44;c90206b7-d9f3-43a7-8264-c9a22f7b83c6;;117.48.132.30;DELETE /api/orders -> 288: operation completed;6382;retry;staging;staging-host-41;
2025-09-24T21:14:21.443Z;INFO;orders;PUT;/api/login;287;802;c940ebc4-bc92-4034-9c92-ab231c8d93f8;;0.172.48.166;PUT /api/login -> 287: processing successful;93574;auth|retry|cache;prod;prod-host-44;
2025-09-24T22:13:05.311Z;INFO;auth;PUT;/api/login;239;488;8f9cbad4-6a41-4987-948f-ecf61dd02fa2;debc1c732fd13963;3.58.198.73;PUT /api/login -> 239: request handled;73434;payment|cache;prod;prod-host-48;
2025-09-24T20:57:38.650Z;WARN;auth;DELETE;/api/login;523;725;ea52926f-5615-43c7-9e51-44e3a531d790;f9edb6ccd6bf230e;51.134.30.223;DELETE /api/login -> 523: retry scheduled;136961;network|db;dev;dev-host-7;
